# chirpmass               merger_rate
6.270550563296121149e-01 2.681599044614600643e+03
6.370550563296121238e-01 2.584109917051227058e+03
6.470550563296121327e-01 2.490148179295090358e+03
6.570550563296121416e-01 2.399586771341089843e+03
6.670550563296121505e-01 2.312303191058394077e+03
6.770550563296121593e-01 2.228179331311180704e+03
6.870550563296120572e-01 2.147101322880031148e+03
6.970550563296120661e-01 2.068959382978047870e+03
7.070550563296120750e-01 1.993647669163035744e+03
7.170550563296120838e-01 1.923228343270289770e+03
7.270550563296120927e-01 1.856843755034438800e+03
7.370550563296121016e-01 1.792749985467297847e+03
7.470550563296121105e-01 1.730868003248947389e+03
7.570550563296121194e-01 1.671798612642383659e+03
7.670550563296121283e-01 1.617493830697231942e+03
7.770550563296120261e-01 1.564952234597141796e+03
7.870550563296120350e-01 1.514116601693667008e+03
7.970550563296120439e-01 1.464931565653537973e+03
8.070550563296120528e-01 1.417343556264617746e+03
8.170550563296120616e-01 1.371300741192951364e+03
8.270550563296120705e-01 1.326752969627687662e+03
8.370550563296120794e-01 1.283651717752708919e+03
8.470550563296119773e-01 1.243447680280020904e+03
8.570550563296119861e-01 1.205647341637465388e+03
8.670550563296119950e-01 1.168986937822411164e+03
8.770550563296120039e-01 1.133432399241067969e+03
8.870550563296120128e-01 1.098950664460984854e+03
8.970550563296120217e-01 1.065509650702694444e+03
9.070550563296120306e-01 1.033078225184870234e+03
9.170550563296120394e-01 1.001626177298624839e+03
9.270550563296120483e-01 9.711241915872583377e+02
9.370550563296119462e-01 9.415438215084373041e+02
9.470550563296119551e-01 9.128574639564217250e+02
9.570550563296119639e-01 8.850383345226119900e+02
9.670550563296119728e-01 8.580604434732781556e+02
9.770550563296119817e-01 8.318985724239400952e+02
9.870550563296119906e-01 8.065282516904571821e+02
9.970550563296119995e-01 7.820685091069784676e+02
1.007055056329611897e+00 7.590691785432824190e+02
1.017055056329611906e+00 7.367300147844889580e+02
1.027055056329611915e+00 7.150326415966765126e+02
1.037055056329611924e+00 6.939591748239101889e+02
1.047055056329611933e+00 6.734922098353774800e+02
1.057055056329611942e+00 6.536148092742143945e+02
1.067055056329611951e+00 6.354135742436510554e+02
1.077055056329611959e+00 6.229857297925732382e+02
1.087055056329611968e+00 6.108001426314106084e+02
1.097055056329611977e+00 5.988521052936368960e+02
1.107055056329611986e+00 5.871370015182445741e+02
1.117055056329611995e+00 5.756503044874590387e+02
1.127055056329612004e+00 5.643875750984182105e+02
1.137055056329611791e+00 5.533444602681623792e+02
1.147055056329611800e+00 5.425166912713006013e+02
1.157055056329611809e+00 5.319000821097217795e+02
1.167055056329611817e+00 5.214905279137304888e+02
1.177055056329611826e+00 5.112840033740114905e+02
1.187055056329611835e+00 5.017668439434461334e+02
1.197055056329611844e+00 4.924555497955852275e+02
1.207055056329611853e+00 4.833168435138344989e+02
1.217055056329611862e+00 4.743475300290696168e+02
1.227055056329611871e+00 4.655444733463531861e+02
1.237055056329611880e+00 4.569045954541466585e+02
